,name,carmodel,price,location,status,mfg,interiorColor,exteriorColor,gearbox,kilometer,link,note
15,LEXUS,LM300H,6950000000,HỒ CHÍ MINH,MỚI,2020,,ĐEN,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-lexus-lm-300h-royal-lounge-2020-ban-7c-giao-xe-ngay-toan-quoc-0844177222-395635/,price!!!
17,FORD,RANGER,618000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-hcm-ranger-giam-gia-dac-biet-duyet-vay-hon-80-du-mau-giao-ngay-call-090-638-1199-404694/,price!!!
19,THACO,TOWNER,188000000,ĐÀ NẴNG,MỚI,2021,,TRẮNG,SỐ TAY,0,https://www.carmudi.vn/ban-xe-o-to-ban-xe-tai-500kg-towner-800-tai-da-nang-390906/,price!!!
20,FORD,RANGER,618000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-hcm-ranger-2021-moi-gia-tot-chua-tung-co-du-mau-amp-co-xe-giao-ngay-404728/,price!!!
38,TOYOTA,CAMRY,85000000,,CŨ,1987,,,SỐ SÀN,190000,https://xe.chotot.com/mua-ban-oto-quan-3-tp-ho-chi-minh/90441054.htm,price!!!
49,FORD,RANGER,618000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-hcm-ranger-gia-tot-nhat-duyet-vay-hon-80-du-mau-giao-ngay-call-090-638-1199-406973/,price!!!
58,DAEWOO,NUBIRA,50000000,HÀ NỘI,CŨ,2001,ĐEN,TRẮNG,SỐ TAY,286898,https://bonbanh.com/xe-daewoo-nubira-ii-1.6-2001-4126858,price!!!
59,TOYOTA,VIOS,423000000,LÂM ĐỒNG,CŨ,2021,MÀU KHÁC,BẠC,SỐ TAY,19000,https://bonbanh.com/xe-toyota-vios-1.5e-mt-2021-4104769,price!!!
66,MITSUBISHI,TRITON,795000000,HÀ NỘI,CŨ,2020,GHI,XANH,TỰ ĐỘNG,15000,https://bonbanh.com/xe-mitsubishi-triton-4x4-at-mivec-premium-2020-4109122,price!!!
69,MERCEDES BENZ,C CLASS,599000000,HÀ NỘI,CŨ,2014,KEM,ĐEN,TỰ ĐỘNG,77000,https://bonbanh.com/xe-mercedes_benz-c_class-c200-2014-4110977,price!!!
