,name,carmodel,price,location,status,mfg,interiorColor,exteriorColor,gearbox,kilometer,link,note
12,KIA,SONET,579000000,HÀ NỘI,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-0868616444kia-sonet-luxury-giam-50-thue-truoc-ba-giao-xe-truoc-tet-lien-he-de-duoc-tu-van-415187/,model not in brand
13,FORD,RANGER,630000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-hcm-ford-ranger-xls-at-2021-bung-no-khuyen-mai-ngap-tran-uu-dai-giao-ngay-415244/,price!!!
15,FORD,RANGER,630000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-hcm-ford-ranger-xls-at-2021-bung-no-khuyen-mai-ngap-tran-uu-dai-415105/,price!!!
16,MERCEDESBENZ,G63,12500000000,HÀ NỘI,MỚI,2021,,TRẮNG,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-ban-mercedes-benz-g63-amg-2021-moi-ha-noi-405003/,model not in brand
18,MERCEDESBENZ,GLS600 MAYBACH,16300000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-mercedes-benz-gls600-maybach-2022-hotline-0935866636-moi-100-giao-xe-ngay-413403/,model not in brand
21,TOYOTA,FORTUNER,945000000,BẮC GIANG,MỚI,2021,NÂU,ĐEN,SỐ TAY,0,https://bonbanh.com/xe-toyota-fortuner-2.4g-4x2-mt-2021-3640994,price!!!
22,TOYOTA,HIACE,28000000,HÀ NỘI,CŨ,2000,BẠC,TRẮNG,SỐ TAY,0,https://bonbanh.com/xe-toyota-hiace-2.0-2000-3766618,price!!!
23,FORD,TRANSIT,750000000,HÀ NỘI,MỚI,2020,KEM,BẠC,SỐ TAY,0,https://bonbanh.com/xe-ford-transit-luxury-2020-3172762,price!!!
32,MG,HS,869000000,THÁI BÌNH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-mg-hs-20-trophy-moi-thai-binh-50-phi-truoc-ba-ho-tro-tra-gop-xe-co-san-cuc-dep-413463/,price!!!
35,LEXUS,LX600,8999000000,HÀ NỘI,MỚI,2021,,ĐEN,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-ban-lexus-lx-600-2022-lh-0963732568-415067/,model not in brand
38,MINI,COOPER,1059000000,HÀ NỘI,CŨ,2016,,TRẮNG,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-mini-cooper-coutryman-s-2016-414886/,price!!!
42,MINI,COOPER,2250000000,HÀ NỘI,CŨ,2020,,TRẮNG,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-mini-cooper-2020-414888/,price!!!
51,MERCEDES BENZ,E CLASS,2890000000,HÀ NỘI,MỚI,2021,ĐEN,ĐEN,TỰ ĐỘNG,0,https://bonbanh.com/xe-mercedes_benz-e_class-e300-amg-2021-4013673,price!!!
56,HYUNDAI,GRAND I10,169000000,,CŨ,2015,,,SỐ SÀN,25124,https://xe.chotot.com/mua-ban-oto-thanh-pho-bien-hoa-dong-nai/89852952.htm,price!!!
67,CHEVROLET,SPARK,95000000,,CŨ,2010,,,SỐ SÀN,150000,https://xe.chotot.com/mua-ban-oto-thi-xa-ben-cat-binh-duong/90350076.htm,price!!!
82,MINI,COOPER,1050000000,HÀ NỘI,CŨ,2020,,TRẮNG,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-mini-cooper-2020-414889/,price!!!
96,FORD,EVEREST,1020000000,HÀ NỘI,MỚI,2021,-,ĐEN,TỰ ĐỘNG,0,https://bonbanh.com/xe-ford-everest-sport-2.0l-4x2-at-2021-3768143,price!!!
99,NISSAN,TEANA,393000000,HÀ NỘI,CŨ,2010,ĐEN,ĐEN,TỰ ĐỘNG,90000,https://bonbanh.com/xe-nissan-teana-2.0-at-2010-4041737,price!!!
102,FORD,RANGER,1202000000,HÀ NỘI,MỚI,2021,-,XANH,TỰ ĐỘNG,0,https://bonbanh.com/xe-ford-ranger-raptor-2.0l-4x4-at-2021-3609702,price!!!
109,PORSCHE,MACAN,3168000000,HỒ CHÍ MINH,CŨ,2018,,ĐEN,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-porsche-macan-2018-414907/,price!!!
136,MERCEDES BENZ,GLC,1799000000,HÀ NỘI,CŨ,2021,KEM,ĐEN,TỰ ĐỘNG,3000,https://bonbanh.com/xe-mercedes_benz-glc-200-2021-3868592,price!!!
139,FORD,RANGER,606000000,HÀ NỘI,MỚI,2021,ĐEN,ĐEN,SỐ TAY,0,https://bonbanh.com/xe-ford-ranger-xl-2.2l-4x4-mt-2021-3215510,price!!!
149,TOYOTA,INNOVA,265000000,,CŨ,2007,,,SỐ SÀN,90000,https://xe.chotot.com/mua-ban-oto-huyen-binh-chanh-tp-ho-chi-minh/90327711.htm,price!!!
163,PORSCHE,CAYENNE,3089000000,HÀ NỘI,CŨ,2016,,TRẮNG,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-porsche-cayenne-2016-414920/,price!!!
165,BMW,X4,2000000000,HÀ NỘI,CŨ,2014,,TRẮNG,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-bmw-x4-2014-414928/,price!!!
168,TOYOTA,CAMRY,1240000000,HÀ NỘI,CŨ,2021,-,ĐEN,TỰ ĐỘNG,0,https://bonbanh.com/xe-toyota-camry-2.5q-2021-4078705,price!!!
172,LANDROVER,RANGE ROVER SPORT,6999000000,HỒ CHÍ MINH,CŨ,2019,NÂU,ĐỎ,TỰ ĐỘNG,8600,https://bonbanh.com/xe-landrover-range_rover_sport-hse-dynamic-2019-4015160,price!!!
178,HYUNDAI,SANTAFE,305000000,ĐỒNG NAI,CŨ,2008,KEM,CÁT,TỰ ĐỘNG,140000,https://bonbanh.com/xe-hyundai-santafe-2.7l-4wd-2008-4073481,price!!!
182,VINFAST,LUX SA 2.0,909000000,HỒ CHÍ MINH,MỚI,2021,GHI,TRẮNG,TỰ ĐỘNG,0,https://bonbanh.com/xe-vinfast-lux_sa_2.0-2.0-at-2021-3285060,price!!!
210,AUDI,Q7,2590000000,HỒ CHÍ MINH,CŨ,2017,,ĐEN,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-audi-q7-2017-414937/,price!!!
218,MERCEDESBENZ,C250,660000000,HÀ NỘI,CŨ,2014,,TRẮNG,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-mercedes-benz-c250-2014-414946/,price!!!
225,LANDROVER,DISCOVERY,3860000000,HÀ NỘI,CŨ,2019,,XANH DƯƠNG,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-ban-land-rover-discovery-hse-2019-cu-ha-noi-414952/,price!!!
227,KIA,MORNING,195000000,,CŨ,2016,,,SỐ SÀN,80000,https://xe.chotot.com/mua-ban-oto-quan-6-tp-ho-chi-minh/90348625.htm,price!!!
231,MITSUBISHI,JOLIE,75000000,,CŨ,2004,,,SỐ SÀN,99999,https://xe.chotot.com/mua-ban-oto-quan-lien-chieu-da-nang/88342373.htm,price!!!
235,DAEWOO,LACETTI,160000000,,CŨ,2011,,,TỰ ĐỘNG,80000,https://xe.chotot.com/mua-ban-oto-thanh-pho-buon-ma-thuot-dak-lak/88871816.htm,price!!!
236,TOYOTA,INNOVA,278000000,,CŨ,2013,,,SỐ SÀN,488000,https://xe.chotot.com/mua-ban-oto-quan-thu-duc-tp-ho-chi-minh/90177606.htm,price!!!
249,KIA,CARNIVAL,1179000000,HÀ NỘI,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-0868616444-kia-carnival-2022-giao-ngay-thang-12-uu-dai-so-1-ha-noi-413426/,price!!!
254,TOYOTA,LAND CRUISER,980000000,,CŨ,1990,,,TỰ ĐỘNG,123,https://xe.chotot.com/mua-ban-oto-quan-tan-binh-tp-ho-chi-minh/89329877.htm,price!!!
