,name,carmodel,price,location,status,mfg,interiorColor,exteriorColor,gearbox,kilometer,link,note
18,FORD,RANGER,618000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-ranger-gia-tot-nhat-duyet-vay-hon-80-du-mau-giao-ngay-call-090-638-1199-415186/,price!!!
29,MITSUBISHI,ATTRAGE,340000000,HÀ NỘI,MỚI,2021,ĐEN,TRẮNG,SỐ TAY,0,https://bonbanh.com/xe-mitsubishi-attrage-1.2-mt-2021-4075809,price!!!
61,KIA,MORNING,210000000,,CŨ,2017,,,SỐ SÀN,111,https://xe.chotot.com/mua-ban-oto-quan-ninh-kieu-can-tho/90328101.htm,price!!!
62,FORD,RANGER,539000000,,CŨ,2018,,,SỐ SÀN,74000,https://xe.chotot.com/mua-ban-oto-quan-binh-tan-tp-ho-chi-minh/89979645.htm,price!!!
63,VINFAST,FADIL,130000000,,MỚI,2021,,,TỰ ĐỘNG,,https://xe.chotot.com/mua-ban-oto-thanh-pho-ben-tre-ben-tre/81491854.htm,price!!!
66,KIA,SORENTO,1190000000,,CŨ,2021,,,TỰ ĐỘNG,21000,https://xe.chotot.com/mua-ban-oto-quan-binh-tan-tp-ho-chi-minh/89271563.htm,price!!!
76,FORD,RANGER,560000000,HÀ NỘI,MỚI,2020,,NHIỀU MÀU,SỐ TAY,0,https://www.carmudi.vn/ban-xe-o-to-sieu-giam-giaford-ranger-xl-2-cau-moi-thanh-toan-hon-100tr-nhan-xe-ngay-0979572297-399796/,price!!!
78,HYUNDAI,SANTAFE,1010000000,CẦN THƠ,MỚI,2021,NÂU,TRẮNG,TỰ ĐỘNG,0,https://bonbanh.com/xe-hyundai-santafe-tieu-chuan-2.5l-2021-3823219,price!!!
84,FORD,RANGER,1202000000,HÀ NỘI,MỚI,2021,-,XANH,TỰ ĐỘNG,0,https://bonbanh.com/xe-ford-ranger-raptor-2.0l-4x4-at-2021-3609702,price!!!
96,KIA,MORNING,304000000,HÀ NỘI,MỚI,2021,,TRẮNG,SỐ TAY,0,https://www.carmudi.vn/ban-xe-o-to-0868616444-kia-moring-gt-line-x-line-san-xe-du-mau-giao-ngay-uu-dai-va-dich-vu-so-1-ha-noi-414995/,price!!!
98,KIA,SORENTO,1289000000,HÀ NỘI,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-0868616444-kia-sorento-giao-ngay-uu-dai-va-dich-vu-so-1-ha-noi-406950/,price!!!
110,MERCEDES BENZ,S CLASS,898000000,HÀ NỘI,CŨ,2010,KEM,ĐEN,TỰ ĐỘNG,93000,https://bonbanh.com/xe-mercedes_benz-s_class--2010-4132434,price!!!
119,KIA,MORNING,899000000,HÀ NỘI,CŨ,2021,,ĐỎ,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-ban-kia-morning-xline-2021-bien-vip-406855/,price!!!
124,FORD,RANGER,505000000,,CŨ,2017,,,SỐ SÀN,69000,https://xe.chotot.com/mua-ban-oto-quan-nam-tu-liem-ha-noi/90203700.htm,price!!!
126,KIA,MORNING,255000000,,CŨ,2011,,,TỰ ĐỘNG,11000,https://xe.chotot.com/mua-ban-oto-quan-long-bien-ha-noi/90254209.htm,price!!!
127,FORD,RANGER,550686839,,CŨ,2017,,,TỰ ĐỘNG,75169,https://xe.chotot.com/mua-ban-oto-quan-10-tp-ho-chi-minh/89857954.htm,price!!!
131,MERCEDES BENZ,C CLASS,1330000000,,CŨ,2017,,,TỰ ĐỘNG,32000,https://xe.chotot.com/mua-ban-oto-quan-go-vap-tp-ho-chi-minh/90087454.htm,price!!!
147,HYUNDAI,ACCENT,386000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-hyundai-accent-2021-giam-gia-tien-matpk-tra-truoc-150tr-nhan-xe-ngay-406768/,price!!!
150,HYUNDAI,ACCENT,386000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-hyundai-accent-2021-giam-gia-den-40-trieu-xe-co-san-giao-ngay-415127/,price!!!
155,LANDROVER,RANGE ROVER,4750000000,HỒ CHÍ MINH,CŨ,2016,,TRẮNG,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-range-rover-hse-bien-so-than-tai-ho-tro-vay-75-chat-luong-xuat-sac-0947737172-truong-thanh-415128/,price!!!
164,MITSUBISHI,TRITON,795000000,HÀ NỘI,CŨ,2020,GHI,XANH,TỰ ĐỘNG,15000,https://bonbanh.com/xe-mitsubishi-triton-4x4-at-mivec-premium-2020-4109122,price!!!
