,name,carmodel,price,location,status,mfg,interiorColor,exteriorColor,gearbox,kilometer,link,note
10,KIA,SORENTO,1289000000,ĐỒNG NAI,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-0938985930kia-sorento-22d-signature-awd-2021-gia-giam-sau-ho-tro-vay-nhanh-chong-413351/,price!!!
18,FORD,RANGER,630000000,HỒ CHÍ MINH,MỚI,2021,,ĐEN,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-hcm-ranger-xls-at-2021-giao-xe-ngay-ho-tro-vay-len-den-80-bao-dau-ho-so-vay-090-638-1199-404727/,price!!!
34,FORD,RANGER,616000000,TÂY NINH,MỚI,2021,MÀU KHÁC,ĐỎ,SỐ TAY,0,https://bonbanh.com/xe-ford-ranger-xl-2.2l-4x4-mt-2021-4063764,price!!!
43,KIA,MORNING,288000000,HỒ CHÍ MINH,CŨ,2015,ĐỎ,CÁT,TỰ ĐỘNG,45000,https://bonbanh.com/xe-kia-morning-si-at-2015-4057328,price!!!
56,FORD,RANGER,600000000,,MỚI,2021,,,TỰ ĐỘNG,,https://xe.chotot.com/mua-ban-oto-quan-bac-tu-liem-ha-noi/89386775.htm,price!!!
61,CHEVROLET,SPARK,105000000,,CŨ,2009,,,SỐ SÀN,333333,https://xe.chotot.com/mua-ban-oto-thanh-pho-long-xuyen-an-giang/90409312.htm,price!!!
62,LEXUS,RX,590000000,,CŨ,2008,,,TỰ ĐỘNG,11000,https://xe.chotot.com/mua-ban-oto-quan-nam-tu-liem-ha-noi/82177293.htm,price!!!
77,HYUNDAI,SANTAFE,890000000,BẮC GIANG,CŨ,2013,ĐEN,BẠC,TỰ ĐỘNG,130000,https://bonbanh.com/xe-hyundai-santafe-2.2l-2013-4105157,price!!!
94,PORSCHE,CAYENNE,3089000000,HÀ NỘI,CŨ,2016,,TRẮNG,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-porsche-cayenne-2016-414920/,price!!!
96,BMW,X4,2000000000,HÀ NỘI,CŨ,2014,,TRẮNG,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-bmw-x4-2014-414928/,price!!!
118,MERCEDES BENZ,GLC,1799000,,CŨ,2021,,,TỰ ĐỘNG,2000,https://xe.chotot.com/mua-ban-oto-quan-binh-thanh-tp-ho-chi-minh/89039487.htm,price!!!
127,HÃNG KHÁC,DÒNG KHÁC,20000000,,CŨ,2010,,,SỐ SÀN,99999,https://xe.chotot.com/mua-ban-oto-huyen-bau-bang-binh-duong/90405211.htm,price!!!
128,MITSUBISHI,XPANDER,499000000,,MỚI,2021,,,SỐ SÀN,,https://xe.chotot.com/mua-ban-oto-quan-cau-giay-ha-noi/90405213.htm,price!!!
142,HYUNDAI,SANTAFE,340000000,QUẢNG NINH,CŨ,2005,ĐEN,BẠC,TỰ ĐỘNG,1,https://bonbanh.com/xe-hyundai-santafe-mlx-2.2l-2005-4084125,price!!!
163,FORD,RANGER,560000000,HÀ NỘI,MỚI,2020,,NHIỀU MÀU,SỐ TAY,0,https://www.carmudi.vn/ban-xe-o-to-sieu-giam-giaford-ranger-xl-2-cau-moi-thanh-toan-hon-100tr-nhan-xe-ngay-0979572297-399796/,price!!!
175,VINFAST,LUX A 2.0,681000000,HÀ NỘI,MỚI,2021,ĐEN,BẠC,TỰ ĐỘNG,0,https://bonbanh.com/xe-vinfast-lux_a_2.0-2.0-at-2021-3938837,price!!!
178,HONDA,CIVIC,299000000,HÀ NỘI,CŨ,2011,KEM,CÁT,SỐ TAY,13000,https://bonbanh.com/xe-honda-civic-1.8-mt-2011-4078201,price!!!
181,KIA,CARNIVAL,1839000000,HÀ NỘI,MỚI,2022,-,ĐEN,TỰ ĐỘNG,0,https://bonbanh.com/xe-kia-carnival-signature-3.5g-2022-4045903,price!!!
185,FORD,RANGER,1200000000,HÀ NỘI,MỚI,2021,-,XÁM,TỰ ĐỘNG,0,https://bonbanh.com/xe-ford-ranger-raptor-2.0l-4x4-at-2021-4078969,price!!!
187,VINFAST,LUX A 2.0,681000000,HÀ NỘI,MỚI,2021,ĐEN,TRẮNG,TỰ ĐỘNG,0,https://bonbanh.com/xe-vinfast-lux_a_2.0-2.0-at-2021-4084532,price!!!
190,FORD,RANGER,495000000,,CŨ,2016,,,SỐ SÀN,79000,https://xe.chotot.com/mua-ban-oto-quan-binh-tan-tp-ho-chi-minh/89974682.htm,price!!!
200,KIA,MORNING,135000000,,CŨ,2011,,,SỐ SÀN,90000,https://xe.chotot.com/mua-ban-oto-thanh-pho-ba-ria-ba-ria-vung-tau/90405312.htm,price!!!
201,FORD,RANGER,650000000,HÀ NỘI,MỚI,2021,ĐEN,ĐEN,TỰ ĐỘNG,0,https://bonbanh.com/xe-ford-ranger-xls-2.2l-4x2-at-2021-3217980,price!!!
211,HYUNDAI,UNIVERSE,1100000000,HỒ CHÍ MINH,MỚI,2019,ĐEN,TRẮNG,SỐ TAY,0,https://bonbanh.com/xe-hyundai-universe-galaxy-vip-2019-2179015,price!!!
212,DAEWOO,KHÁC,900000000,HỒ CHÍ MINH,MỚI,2020,KEM,TRẮNG,SỐ TAY,0,https://bonbanh.com/xe-daewoo-khac-prima-10-tan-2020-1280936,price!!!
215,MERCEDESBENZ,GLC200,1690000000,HỒ CHÍ MINH,CŨ,2020,,TRẮNG,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-hot-mercedes-benz-glc200-2021-cu-mau-trang-di-luot-chinh-hang-413431/,price!!!
240,KIA,SORENTO,1289000000,HÀ NỘI,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-0868616444-kia-sorento-giao-ngay-uu-dai-va-dich-vu-so-1-ha-noi-406950/,price!!!
246,FORD,RANGER,600000000,HÀ NỘI,MỚI,2021,ĐEN,XÁM,SỐ TAY,0,https://bonbanh.com/xe-ford-ranger-xls-2.2l-4x2-mt-2021-4000709,price!!!
249,KIA,MORNING,799000000,HÀ NỘI,CŨ,2021,ĐEN,ĐỎ,TỰ ĐỘNG,4500,https://bonbanh.com/xe-kia-morning-x-line-2021-3918899,price!!!
258,TOYOTA,ZACE,325000000,,CŨ,2005,,,SỐ SÀN,74000,https://xe.chotot.com/mua-ban-oto-quan-thu-duc-tp-ho-chi-minh/89688315.htm,price!!!
261,FORD,RANGER,505000000,,CŨ,2017,,,SỐ SÀN,69000,https://xe.chotot.com/mua-ban-oto-quan-nam-tu-liem-ha-noi/90203700.htm,price!!!
262,TOYOTA,INNOVA,225000000,,CŨ,2008,,,SỐ SÀN,61,https://xe.chotot.com/mua-ban-oto-huyen-cu-m-gar-dak-lak/68226425.htm,price!!!
273,MERCEDES BENZ,S CLASS,2450000000,HỒ CHÍ MINH,CŨ,2016,ĐEN,ĐEN,TỰ ĐỘNG,58000,https://bonbanh.com/xe-mercedes_benz-s_class-s400l-2016-3911270,price!!!
286,HYUNDAI,ACCENT,386000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-hyundai-accent-2021-giam-gia-tien-matpk-tra-truoc-150tr-nhan-xe-ngay-406768/,price!!!
294,HYUNDAI,ACCENT,386000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-hyundai-accent-2021-giam-gia-den-40-trieu-xe-co-san-giao-ngay-415127/,price!!!
295,LANDROVER,RANGE ROVER,4750000000,HỒ CHÍ MINH,CŨ,2016,,TRẮNG,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-range-rover-hse-bien-so-than-tai-ho-tro-vay-75-chat-luong-xuat-sac-0947737172-truong-thanh-415128/,price!!!
315,MERCEDES BENZ,GLS CLASS,5599000000,,CŨ,2021,,,TỰ ĐỘNG,6000,https://xe.chotot.com/mua-ban-oto-quan-tay-ho-ha-noi/90405497.htm,price!!!
322,FORD,RANGER,616000000,,MỚI,2021,,,TỰ ĐỘNG,,https://xe.chotot.com/mua-ban-oto-quan-8-tp-ho-chi-minh/89933494.htm,price!!!
365,KIA,MORNING,304000000,HÀ NỘI,MỚI,2021,,TRẮNG,SỐ TAY,0,https://www.carmudi.vn/ban-xe-o-to-0868616444-kia-moring-gt-line-x-line-san-xe-du-mau-giao-ngay-uu-dai-va-dich-vu-so-1-ha-noi-414995/,price!!!
370,FORD,RANGER,585000000,HÀ NỘI,MỚI,2021,,TRẮNG,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-0979-57-2297ford-ranger-2021-ban-nhap-khau-san-xe-gia-tot-uu-dai-gan-100tr-tien-mat-413418/,price!!!
401,FORD,RANGER,570000000,HÀ NỘI,MỚI,2021,,TRẮNG,SỐ TAY,0,https://www.carmudi.vn/ban-xe-o-to-0979-57-2297ford-ranger-2021-san-xe-gia-tot-uu-dai-tien-mat-va-tang-phu-kien-chinh-hang-413420/,price!!!
412,MERCEDES BENZ,GLC,1799000000,HỒ CHÍ MINH,CŨ,2021,ĐEN,TRẮNG,TỰ ĐỘNG,2000,https://bonbanh.com/xe-mercedes_benz-glc-200-2021-4053735,price!!!
414,MERCEDES BENZ,GLS,4999000000,HÀ NỘI,MỚI,2021,KEM,ĐEN,TỰ ĐỘNG,0,https://bonbanh.com/xe-mercedes_benz-gls-450-4matic-2021-3956935,price!!!
419,KIA,MORNING,200000000,,CŨ,2017,,,SỐ SÀN,73000,https://xe.chotot.com/mua-ban-oto-huyen-chau-thanh-ben-tre/90405718.htm,price!!!
420,TOYOTA,INNOVA,330000000,,CŨ,2016,,,SỐ SÀN,64975,https://xe.chotot.com/mua-ban-oto-quan-nam-tu-liem-ha-noi/83599450.htm,price!!!
421,BMW,3 SERIES,489000000,,CŨ,2004,,,TỰ ĐỘNG,80000,https://xe.chotot.com/mua-ban-oto-quan-12-tp-ho-chi-minh/90121975.htm,price!!!
424,TOYOTA,ZACE,325000000,,CŨ,2005,,,SỐ SÀN,75000,https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-dau-mot-binh-duong/89689880.htm,price!!!
431,VINFAST,LUX,681695000,,CŨ,2021,,,TỰ ĐỘNG,,https://xe.chotot.com/mua-ban-oto-quan-dong-da-ha-noi/85422280.htm,price!!!
435,FORD,TOURNEO,1150000000,HỒ CHÍ MINH,CŨ,2019,NÂU,NÂU,TỰ ĐỘNG,13800,https://bonbanh.com/xe-ford-tourneo-titanium-2.0-at-2019-4085037,price!!!
436,FORD,RANGER,580000000,HỒ CHÍ MINH,CŨ,2019,XÁM,VÀNG,SỐ TAY,60000,https://bonbanh.com/xe-ford-ranger-xls-2.2l-4x2-mt-2019-4020138,price!!!
444,FORD,RANGER,590000000,HÀ NỘI,MỚI,2021,,NHIỀU MÀU,SỐ TAY,0,https://www.carmudi.vn/ban-xe-o-to-ban-ford-pickup-xls-at-xls-mt-2021-moi-ha-noi-ho-tro-tra-gop-giao-xe-toan-quoc-415103/,price!!!
453,TOYOTA,FORTUNER,1354000000,HỒ CHÍ MINH,MỚI,2020,,NÂU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-toyota-fortuner-v-28-at-2-cau-du-mau-giao-ngay-350tr-co-xe-lh-0932142022-353437/,price!!!
456,HYUNDAI,HD,500000000,HỒ CHÍ MINH,CŨ,2014,ĐEN,XANH,SỐ TAY,0,https://bonbanh.com/xe-hyundai-hd-72-2014-4054957,price!!!
467,FORD,RANGER,616000000,HÀ NỘI,MỚI,2021,,TRẮNG,SỐ TAY,0,https://www.carmudi.vn/ban-xe-o-to-0979-57-2297ford-ranger-2021-ban-nhap-khau-san-xe-gia-tot-uu-dai-gan-100tr-tien-mat-399915/,price!!!
469,TOYOTA,FORTUNER,1310000000,HỒ CHÍ MINH,CŨ,2019,,BẠC,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-toyota-fortuner-27-4x4-at-2017-moi-99-giao-xe-ngay-353503/,price!!!
473,KIA,SORENTO,999000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-0902913936-kia-sorento-2021-moi-tra-truoc-chi-280tr-giam-gia-soc-xe-san-giao-ngay-415161/,price!!!
486,BMW,3 SERIES,730000000,,CŨ,2015,,,TỰ ĐỘNG,6,https://xe.chotot.com/mua-ban-oto-quan-nam-tu-liem-ha-noi/86449920.htm,price!!!
493,FORD,RANGER,1202000000,HÀ NỘI,MỚI,2021,ĐEN,ĐEN,TỰ ĐỘNG,0,https://bonbanh.com/xe-ford-ranger-raptor-2.0l-4x4-at-2021-4044843,price!!!
494,FORD,RANGER,555000000,HÀ NỘI,CŨ,2019,NHIỀU MÀU,CÁT,SỐ TAY,45000,https://bonbanh.com/xe-ford-ranger-xls-2.2l-4x2-mt-2019-4049925,price!!!
503,KIA,CERATO,499000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,SỐ TAY,0,https://www.carmudi.vn/ban-xe-o-to-0902913936-kia-cerato-2021-moi-uu-dai-soc-65-trieu-chi-trong-thang-nay-san-xe-giao-ngay-415163/,price!!!
513,MERCEDES BENZ,E CLASS,2650000000,HỒ CHÍ MINH,CŨ,2020,ĐEN,XANH,TỰ ĐỘNG,3000,https://bonbanh.com/xe-mercedes_benz-e_class-e300-amg-2020-4023228,price!!!
519,FORD,RANGER,1202000000,HÀ NỘI,MỚI,2021,-,XANH,TỰ ĐỘNG,0,https://bonbanh.com/xe-ford-ranger-raptor-2.0l-4x4-at-2021-3768132,price!!!
527,SUBARU,FORESTER,899000000,HỒ CHÍ MINH,MỚI,2021,,MÀU KHÁC,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-subaru-forester-2021-gia-tot-tang-100-truoc-ba-415172/,price!!!
529,FORD,RANGER,570000000,HÀ NỘI,MỚI,2021,,TRẮNG,SỐ TAY,0,https://www.carmudi.vn/ban-xe-o-to-0979-57-2297ford-ranger-2021-gia-tot-uu-dai-gan-100tr-tien-mat-413419/,price!!!
531,DONGFENG,DFL3251,695000000,BÌNH DƯƠNG,MỚI,2021,,VÀNG,SỐ TAY,0,https://www.carmudi.vn/ban-xe-o-to-gia-xe-tai-dongfeng-8-tan-nhap-khau-2022-415177/,price!!!
536,VINFAST,LUX SA 2.0,946000000,HÀ NỘI,MỚI,2021,NÂU,XANH,TỰ ĐỘNG,0,https://bonbanh.com/xe-vinfast-lux_sa_2.0-2.0-at-2021-3275385,price!!!
551,FORD,RANGER,445000000,,CŨ,2015,,,SỐ SÀN,118000,https://xe.chotot.com/mua-ban-oto-quan-binh-tan-tp-ho-chi-minh/90379990.htm,price!!!
556,TOYOTA,INNOVA,520000000,,CŨ,2014,,,TỰ ĐỘNG,46000,https://xe.chotot.com/mua-ban-oto-quan-phu-nhuan-tp-ho-chi-minh/89142790.htm,price!!!
584,DONGFENG,M3,700000000,BÌNH DƯƠNG,MỚI,2021,,XANH DƯƠNG,SỐ TAY,0,https://www.carmudi.vn/ban-xe-o-to-xe-tai-chenglong-m3-thung-dai-9m9-415178/,model not in brand
589,KIA,SORENTO,999000000,ĐỒNG NAI,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-0938985930kia-sorento-2021-cam-ket-gia-tot-nhat-ho-tro-moi-thu-tuc-nhanh-gon-vay-85-413356/,price!!!
596,KIA,CERATO,195000000,HÀ NỘI,CŨ,2007,GHI,ĐEN,TỰ ĐỘNG,218484,https://bonbanh.com/xe-kia-cerato-1.6-at-2007-4080009,price!!!
601,DAEWOO,LACETTI,238000000,,CŨ,2009,,,TỰ ĐỘNG,70000,https://xe.chotot.com/mua-ban-oto-quan-bac-tu-liem-ha-noi/89994619.htm,price!!!
608,FORD,LASER,165000000,,CŨ,2002,,,SỐ SÀN,344000,https://xe.chotot.com/mua-ban-oto-huyen-vung-liem-vinh-long/90215419.htm,price!!!
609,FORD,RANGER,525000000,,CŨ,2018,,,SỐ SÀN,50000,https://xe.chotot.com/mua-ban-oto-quan-ha-dong-ha-noi/90406648.htm,price!!!
613,TOYOTA,FORTUNER,700000000,,CŨ,2019,,,TỰ ĐỘNG,64000,https://xe.chotot.com/mua-ban-oto-thi-xa-phu-my-ba-ria-vung-tau/90406659.htm,price!!!
