,name,carmodel,price,location,status,mfg,interiorColor,exteriorColor,gearbox,kilometer,link,note
12,VINFAST,LUX A 2.0,701000000,HÀ NỘI,MỚI,2021,ĐEN,ĐỎ,TỰ ĐỘNG,0,https://bonbanh.com/xe-vinfast-lux_a_2.0-2.0-at-2021-3355029,price!!!
13,SMART,FORFOUR,238000000,QUẢNG NINH,CŨ,2004,GHI,CAM,TỰ ĐỘNG,0,https://bonbanh.com/xe-smart-forfour-1.3-at-2004-4097475,price!!!
22,THACO,TOWNER,188000000,ĐÀ NẴNG,MỚI,2021,,TRẮNG,SỐ TAY,0,https://www.carmudi.vn/ban-xe-o-to-ban-xe-tai-500kg-towner-800-tai-da-nang-390906/,price!!!
23,LEXUS,LM300H,6950000000,HỒ CHÍ MINH,MỚI,2020,,ĐEN,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-lexus-lm-300h-royal-lounge-2020-ban-7c-giao-xe-ngay-toan-quoc-0844177222-395635/,price!!!
31,PORSCHE,MACAN,3168000000,HỒ CHÍ MINH,CŨ,2018,,ĐEN,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-porsche-macan-2018-414907/,price!!!
48,TOYOTA,COROLLA CROSS,1000000,,MỚI,2021,,,TỰ ĐỘNG,,https://xe.chotot.com/mua-ban-oto-quan-1-tp-ho-chi-minh/90500004.htm,price!!!
49,CHEVROLET,CRUZE,318000000,,CŨ,2017,,,SỐ SÀN,70000,https://xe.chotot.com/mua-ban-oto-thanh-pho-buon-ma-thuot-dak-lak/88576126.htm,price!!!
73,MERCEDES BENZ,C CLASS,599000000,HÀ NỘI,CŨ,2014,KEM,ĐEN,TỰ ĐỘNG,77000,https://bonbanh.com/xe-mercedes_benz-c_class-c200-2014-4110977,price!!!
80,KIA,CARENS,198000000,THANH HÓA,CŨ,2010,ĐEN,VÀNG,SỐ TAY,86000,https://bonbanh.com/xe-kia-carens-1.6-mt-2010-4133848,price!!!
84,FORD,RANGER,1199000000,HỒ CHÍ MINH,CŨ,2019,ĐEN,ĐỎ,TỰ ĐỘNG,18000,https://bonbanh.com/xe-ford-ranger-raptor-2.0l-4x4-at-2019-4130128,price!!!
87,HYUNDAI,ELANTRA,499000000,PHÚ THỌ,CŨ,2021,KEM,TRẮNG,SỐ TAY,6500,https://bonbanh.com/xe-hyundai-elantra-1.6-mt-2021-4126085,price!!!
89,INFINITI,QX,1980000000,HÀ NỘI,CŨ,2017,NÂU,XANH,TỰ ĐỘNG,50,https://bonbanh.com/xe-infiniti-qx-60-3.5-awd-2017-4121721,price!!!
95,PORSCHE,CAYENNE,3089000000,HÀ NỘI,CŨ,2016,,TRẮNG,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-porsche-cayenne-2016-414920/,price!!!
98,BMW,X4,2000000000,HÀ NỘI,CŨ,2014,,TRẮNG,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-bmw-x4-2014-414928/,price!!!
113,MERCEDES BENZ,C CLASS,1370000000,HÀ NỘI,CŨ,2017,NÂU,ĐEN,TỰ ĐỘNG,0,https://bonbanh.com/xe-mercedes_benz-c_class-c300-amg-2017-4086429,price!!!
115,KIA,CERATO,195000000,HÀ NỘI,CŨ,2007,GHI,ĐEN,TỰ ĐỘNG,218484,https://bonbanh.com/xe-kia-cerato-1.6-at-2007-4080009,price!!!
121,FORD,RANGER,485000000,,CŨ,2016,,,SỐ SÀN,62000,https://xe.chotot.com/mua-ban-oto-quan-nam-tu-liem-ha-noi/90497171.htm,price!!!
131,VINFAST,LUX SA 2.0,826000000,HÀ NỘI,MỚI,2021,ĐEN,TRẮNG,TỰ ĐỘNG,0,https://bonbanh.com/xe-vinfast-lux_sa_2.0-2.0-at-2021-3195378,price!!!
142,FORD,RANGER,610000000,HÀ NỘI,CŨ,2018,KEM,TRẮNG,TỰ ĐỘNG,40000,https://bonbanh.com/xe-ford-ranger-xls-2.2l-4x2-at-2018-4130011,price!!!
168,CHEVROLET,CAPTIVA,186000000,,CŨ,2008,,,SỐ SÀN,140000,https://xe.chotot.com/mua-ban-oto-quan-hai-ba-trung-ha-noi/90497217.htm,price!!!
169,HYUNDAI,AVANTE,235000000,,CŨ,2013,,,SỐ SÀN,34,https://xe.chotot.com/mua-ban-oto-thi-xa-buon-ho-dak-lak/90497225.htm,price!!!
171,KIA,RIO,296000000,,CŨ,2016,,,SỐ SÀN,120000,https://xe.chotot.com/mua-ban-oto-huyen-hoc-mon-tp-ho-chi-minh/90399111.htm,price!!!
175,CHEVROLET,SPARK,146000000,,CŨ,2017,,,SỐ SÀN,35,https://xe.chotot.com/mua-ban-oto-thanh-pho-buon-ma-thuot-dak-lak/90497268.htm,price!!!
176,TOYOTA,ZACE,287000000,,CŨ,2005,,,SỐ SÀN,74000,https://xe.chotot.com/mua-ban-oto-huyen-hoc-mon-tp-ho-chi-minh/89874832.htm,price!!!
178,HYUNDAI,GRAND I10,195000000,,CŨ,2016,,,SỐ SÀN,57567,https://xe.chotot.com/mua-ban-oto-thanh-pho-nga-bay-hau-giang/87969922.htm,price!!!
195,MERCEDES BENZ,GLC,1779000000,HỒ CHÍ MINH,CŨ,2021,ĐEN,ĐEN,TỰ ĐỘNG,50,https://bonbanh.com/xe-mercedes_benz-glc-200-2021-4124247,price!!!
204,MERCEDES BENZ,C CLASS,1360000000,HÀ NỘI,CŨ,2017,ĐỎ,ĐỎ,TỰ ĐỘNG,31000,https://bonbanh.com/xe-mercedes_benz-c_class-c300-amg-2017-4081390,price!!!
216,TOYOTA,CAMRY,85000000,,CŨ,1987,,,SỐ SÀN,190000,https://xe.chotot.com/mua-ban-oto-quan-3-tp-ho-chi-minh/90443166.htm,price!!!
